date,ts_recv,ts_event,side,price,size,ticker,und_ticker,expiration_date,option_type,strike_price
2025.04.03,10:31:23.962008488,10:31:23.961795584,N,0.57,2,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,10:31:23.962012649,10:31:23.961800192,N,0.57,3,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,10:47:59.869759202,10:47:59.869548288,N,3,1,XRX   250516P00007000,XRX,2025.05.16,P,7
2025.04.03,10:55:44.767565443,10:55:44.767354112,N,0.55,2,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,11:28:04.538457328,11:28:04.538246656,N,1.9,1,XRX   250516P00006000,XRX,2025.05.16,P,6
2025.04.03,11:42:22.517368013,11:42:22.517157888,N,0.56,3,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,11:42:22.692896308,11:42:22.692686080,N,0.56,2,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,11:42:22.851890749,11:42:22.851681024,N,0.57,11,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,11:50:20.197875267,11:50:20.197663232,N,0.57,8,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,13:49:06.478314402,13:49:06.478105088,N,0.6,2,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,13:51:09.690740386,13:51:09.690528000,N,0.6,1,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,13:51:09.691776915,13:51:09.691565056,N,0.6,1,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,11:41:19.872929176,11:41:19.872709888,N,0.14,16,XRX   250620C00006000,XRX,2025.06.20,C,6
2025.04.03,11:48:59.713045949,11:48:59.712835584,N,0.13,8,XRX   250620C00006000,XRX,2025.06.20,C,6
2025.04.03,12:33:12.814739703,12:33:12.814528000,N,0.15,4,XRX   250620C00006000,XRX,2025.06.20,C,6
2025.04.03,13:31:39.491552439,13:31:39.491343360,N,0.15,1,XRX   250620C00006000,XRX,2025.06.20,C,6
2025.04.03,13:31:39.534379504,13:31:39.534170368,N,0.15,1,XRX   250620C00006000,XRX,2025.06.20,C,6
2025.04.03,09:52:00.607014402,09:52:00.606803456,N,0.05,1,XRX   250620C00008000,XRX,2025.06.20,C,8
2025.04.03,12:17:23.468568766,12:17:23.468359424,N,0.06,2,XRX   250620C00008000,XRX,2025.06.20,C,8
2025.04.03,09:42:28.265029491,09:42:28.264810752,N,0.1,2,XRX   250620C00007000,XRX,2025.06.20,C,7
2025.04.03,09:57:06.706801432,09:57:06.706591488,N,0.03,2,XRX   250417C00009000,XRX,2025.04.17,C,9
2025.04.03,09:57:06.710209640,09:57:06.709999616,N,0.03,2,XRX   250417C00009000,XRX,2025.04.17,C,9
2025.04.03,09:57:06.713608532,09:57:06.713397760,N,0.03,1,XRX   250417C00009000,XRX,2025.04.17,C,9
